latitude;;longitude;elevation;utc_offset_seconds;timezone;timezone_abbreviation;;
-7.768014;;110.39183;110;25200;Asia/Bangkok;7;;
;;;;;;;;
time;;temperature_2m (°C);relative_humidity_2m (%);rain (mm);shortwave_radiation_instant (W/m²);sunshine_duration (s);;
17/01/2020;16:00;28.8;73;0;366.9;3600;;
17/01/2020;17:00;27.9;77;0;156.2;3600;;
17/01/2020;18:00;26.1;88;0;0.4;2530.32;;
17/01/2020;19:00;25.2;90;0;0;0;;
17/01/2020;20:00;26.3;82;0;0;0;;
17/01/2020;21:00;24.3;92;0;0;0;;
17/01/2020;22:00;24.1;93;0;0;0;;
17/01/2020;23:00;23.3;96;0;0;0;;
18/01/2020;00:00;22.9;95;0;0;0;;
18/01/2020;01:00;22.7;92;0;0;0;;
18/01/2020;02:00;22.3;91;0;0;0;;
18/01/2020;03:00;23.8;81;0;0;0;;
18/01/2020;04:00;23.8;79;0;0;0;;
18/01/2020;05:00;23.3;80;0;0;0;;
18/01/2020;06:00;22.9;86;0;21.3;0;;
18/01/2020;07:00;25.8;75;0;237.2;3600;;
18/01/2020;08:00;27.4;70;0;486.5;3600;;
18/01/2020;09:00;28.4;68;0;704;3600;;
18/01/2020;10:00;29.3;64;0;877.8;3600;;
18/01/2020;11:00;30.1;61;0;980.7;3600;;
18/01/2020;12:00;30.7;60;0;1015.7;3600;;
18/01/2020;13:00;31.1;59;0;968.9;3600;;
18/01/2020;14:00;31.1;61;0;839.5;3600;;
18/01/2020;15:00;30.5;66;0;647.3;3600;;
18/01/2020;16:00;29.7;67;0;433.5;3600;;
18/01/2020;17:00;28.6;70;0;203.1;3600;;
18/01/2020;18:00;26.6;78;0;0.9;2543.51;;
18/01/2020;19:00;25.7;87;0;0;0;;
18/01/2020;20:00;26.8;79;0;0;0;;
18/01/2020;21:00;24.9;89;0;0;0;;
18/01/2020;22:00;24.4;91;0;0;0;;
18/01/2020;23:00;23.8;93;0;0;0;;
19/01/2020;00:00;23.8;91;0;0;0;;
19/01/2020;01:00;23.7;89;0;0;0;;
19/01/2020;02:00;23.4;90;0;0;0;;
19/01/2020;03:00;23.3;90;0;0;0;;
19/01/2020;04:00;22.9;92;0;0;0;;
19/01/2020;05:00;23.2;87;0;0;0;;
19/01/2020;06:00;23.6;85;0;16.6;0;;
19/01/2020;07:00;26.1;79;0;217.7;3600;;
19/01/2020;08:00;27.7;75;0;474.5;3600;;
19/01/2020;09:00;28.7;72;0;678.1;3600;;
19/01/2020;10:00;29.3;69;0.2;785.1;3600;;
19/01/2020;11:00;29.8;67;0.2;861.4;3600;;
19/01/2020;12:00;30.3;67;0.2;818.9;3600;;
19/01/2020;13:00;30.6;70;0.1;783.4;3600;;
19/01/2020;14:00;30.4;71;0;630.9;3600;;
19/01/2020;15:00;29.9;69;0.3;422.2;3600;;
19/01/2020;16:00;29.3;72;0.1;348.3;3600;;
19/01/2020;17:00;28.6;75;0;151.8;3600;;
19/01/2020;18:00;27.2;82;0;1.1;2555.93;;
19/01/2020;19:00;26.5;86;0;0;0;;
19/01/2020;20:00;26.2;90;0;0;0;;
19/01/2020;21:00;25.5;91;0;0;0;;
19/01/2020;22:00;25.3;91;0;0;0;;
19/01/2020;23:00;24.7;93;0;0;0;;
20/01/2020;00:00;24.5;92;0;0;0;;
20/01/2020;01:00;24.7;89;0;0;0;;
20/01/2020;02:00;23.9;91;0;0;0;;
20/01/2020;03:00;23.6;93;0;0;0;;
20/01/2020;04:00;23.5;91;0;0;0;;
20/01/2020;05:00;24.8;84;0;0;0;;
20/01/2020;06:00;24.5;85;0;19;0;;
20/01/2020;07:00;26.5;79;0;232.4;3600;;
20/01/2020;08:00;28;72;0;483.6;3600;;
20/01/2020;09:00;29;69;0;712.5;3600;;
20/01/2020;10:00;29.9;66;0;879.3;3600;;
20/01/2020;11:00;30.4;64;0;894.8;3600;;
20/01/2020;12:00;30.8;62;0;888.4;3600;;
20/01/2020;13:00;30.8;62;0.1;860.3;3600;;
20/01/2020;14:00;29.8;69;0;653.5;3600;;
20/01/2020;15:00;29.5;69;0;527.4;3600;;
20/01/2020;16:00;29.2;70;0.1;430.5;3600;;
20/01/2020;17:00;28.1;75;0.1;158.1;3600;;
20/01/2020;18:00;26.9;83;0;1.4;2567.58;;
20/01/2020;19:00;25.9;91;0.1;0;0;;
20/01/2020;20:00;26.1;88;0;0;0;;
20/01/2020;21:00;25.4;89;0;0;0;;
20/01/2020;22:00;25;89;0;0;0;;
20/01/2020;23:00;24.7;89;0;0;0;;
21/01/2020;00:00;24.6;89;0;0;0;;
21/01/2020;01:00;23.8;92;0;0;0;;
